time,latitude,longitude,depth_km,magnitude,magnitude_type,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp
2010-03-10T12:20:58.900000Z,-33.56,-72.3,35.0,5.63,Mwc,5.76e+16,-6600000000000000.0,-5.1e+16,-9.03e+16,-3.37e+17,-3.57e+16
2010-03-19T02:55:53.200000Z,-33.53,-72.17,26.9,5.18,Mwc,4.43e+16,-2770000000000000.0,-4.15e+16,-2190000000000000.0,-5.87e+16,-6150000000000000.0
2010-03-19T14:20:47.500000Z,-33.25,-72.11,35.0,5.15,Mwc,3.47e+16,-3070000000000000.0,-3.16e+16,3730000000000000.0,-5.89e+16,-5510000000000000.0
2010-05-09T03:29:38.600000Z,-33.93,-72.06,32.1,5.04,Mwc,2.97e+16,1670000000000000.0,-3.14e+16,8130000000000000.0,-3.37e+16,-1020000000000000.0
2010-09-20T05:42:56.700000Z,-33.64,-71.93,30.4,5.09,Mwc,3.71e+16,-470000000000000.0,-3.66e+16,-2820000000000000.0,-4.07e+16,3260000000000000.0
2010-10-31T07:10:40.600000Z,-33.66,-71.86,29.0,5.27,Mwc,6.24e+16,3700000000000000.0,-6.6e+16,1200000000000000.0,-7.72e+16,-1900000000000000.0
2010-12-13T18:51:05.300000Z,-33.99,-73.08,29.3,5.19,Mwc,-6.21e+16,2.17e+16,4.04e+16,2.63e+16,3.57e+16,3.34e+16
2011-01-21T15:36:09.000000Z,-33.97,-72.24,11.6,4.96,Mwc,2.54e+16,80000000000000.0,-2.55e+16,-6580000000000000.0,-2.24e+16,700000000000000.0
2011-02-18T17:00:58.700000Z,-33.93,-72.11,10.0,5.25,Mwc,5.8e+16,2700000000000000.0,-6.07e+16,5400000000000000.0,-7.39e+16,-6000000000000000.0
2011-03-16T22:36:16.000000Z,-32.56,-71.73,32.7,5.49,Mwc,1.69e+17,1.33e+16,-1.82e+17,1.28e+16,-1.29e+17,-2.35e+16
2011-03-17T11:14:26.700000Z,-32.53,-71.47,39.1,5.2,Mwc,6.23e+16,7200000000000000.0,-6.95e+16,8000000000000000.0,-4.5e+16,900000000000000.0
2011-03-28T23:57:47.500000Z,-33.83,-72.04,11.9,5.05,Mwc,4.27e+16,1250000000000000.0,-4.39e+16,3240000000000000.0,-1.98e+16,1360000000000000.0
2011-04-13T15:14:43.000000Z,-33.75,-71.84,34.0,5.42,Mwc,1.15e+17,1.24e+16,-1.27e+17,7100000000000000.0,-1.18e+17,-8000000000000000.0
2011-04-19T00:57:27.000000Z,-33.42,-72.43,45.2,5.06,Mwc,4.06e+16,-120000000000000.0,-4.05e+16,-8070000000000000.0,-2.53e+16,-2150000000000000.0
2011-04-19T05:50:45.400000Z,-33.85,-72.15,13.1,5.15,Mwc,4.81e+16,-3620000000000000.0,-4.44e+16,1250000000000000.0,-4.58e+16,-1.08e+16
2011-04-27T04:57:32.000000Z,-33.95,-72.5,24.2,5.14,Mwc,4.23e+16,-950000000000000.0,-4.13e+16,-1120000000000000.0,-4.97e+16,-7550000000000000.0
2011-06-29T05:36:46.000000Z,-33.91,-72.34,19.7,5.53,Mwc,1.52e+17,-9200000000000000.0,-1.43e+17,-4900000000000000.0,-2.02e+17,-1.96e+16
2011-07-16T00:26:12.600000Z,-33.82,-71.83,20.0,5.95,Mwc,6.72e+17,2.3e+16,-6.94e+17,1.24e+17,-7.99e+17,-4.8e+16
2011-08-28T04:30:32.000000Z,-33.27,-72.3,25.1,5.35,Mwc,9.47e+16,-1000000000000000.0,-9.36e+16,-1.2e+16,-9.37e+16,-1.2e+16
2011-09-07T11:21:50.000000Z,-33.3,-72.17,19.2,5.16,Mwc,5.12e+16,-3110000000000000.0,-4.81e+16,4810000000000000.0,-4.64e+16,1.36e+16
